breed,picture_name
Shetland Sheepdog,Shetland_Sheepdog.png
Shiba Inu,Shiba_Inu.png
Shih Tzu,Shih_Tzu.png
Shikoku,Shikoku.png
Siberian Husky,Siberian_Husky.png
Silky Terrier,Silky_Terrier.png
Skye Terrier,Skye_Terrier.png
Sloughi,Sloughi.png
Slovakian Wirehaired Pointer,Slovakian_Wirehaired_Pointer.png
Slovensky Cuvac,Slovensky_Cuvac.png
Slovensky Kopov,Slovensky_Kopov.png
Small Munsterlander Pointer,Small_Munsterlander_Pointer.png
Smooth Fox Terrier,Smooth_Fox_Terrier.png
Soft Coated Wheaten Terrier,Soft_Coated_Wheaten_Terrier.png
Spanish Mastiff,Spanish_Mastiff.png
Spanish Water Dog,Spanish_Water_Dog.png
Spinone Italiano,Spinone_Italiano.png
Stabyhoun,Stabyhoun.png
Staffordshire Bull Terrier,Staffordshire_Bull_Terrier.png
Standard Schnauzer,Standard_Schnauzer.png
Sussex Spaniel,Sussex_Spaniel.png
Swedish Lapphund,Swedish_Lapphund.png
Swedish Vallhund,Swedish_Vallhund.png
Taiwan Dog,Taiwan_Dog.png
Teddy Roosevelt Terrier,Teddy_Roosevelt_Terrier.png
Thai Ridgeback,Thai_Ridgeback.png
Tibetan Mastiff,Tibetan_Mastiff.png
Tibetan Spaniel,Tibetan_Spaniel.png
Tibetan Terrier,Tibetan_Terrier.png
Tornjak,Tornjak.png
Tosa,Tosa.png
Toy Fox Terrier,Toy_Fox_Terrier.png
Transylvanian Hound,Transylvanian_Hound.png
Treeing Tennessee Brindle,Treeing_Tennessee_Brindle.png
Treeing Walker Coonhound,Treeing_Walker_Coonhound.png
Vizsla,Vizsla.png
Weimaraner,Weimaraner.png
Welsh Springer Spaniel,Welsh_Springer_Spaniel.png
Welsh Terrier,Welsh_Terrier.png
West Highland White Terrier,West_Highland_White_Terrier.png
Wetterhoun,Wetterhoun.png
Whippet,Whippet.png
Wire Fox Terrier,Wire_Fox_Terrier.png
Wirehaired Pointing Griffon,Wirehaired_Pointing_Griffon.png
Wirehaired Vizsla,Wirehaired_Vizsla.png
Working Kelpie,Working_Kelpie.png
Xoloitzcuintli,Xoloitzcuintli.png
Yakutian Laika,Yakutian_Laika.png
Yorkshire Terrier,Yorkshire_Terrier.png
